V_tot T fraction 
0.0003 200.0 0.9923689353465301
0.00034285714285714285 200.0 0.9945029037555645
0.00038571428571428567 200.0 0.995804982672209
0.00042857142857142855 200.0 0.9966686884029636
0.00047142857142857137 200.0 0.9972770096556542
0.0005142857142857143 200.0 0.9977250862046517
0.0005571428571428572 200.0 0.998066750991148
0.0006 200.0 0.9983345364861412
0.0006428571428571428 200.0 0.998549161006519
0.0006857142857142857 200.0 0.9987243937969154
0.0007285714285714287 200.0 0.9988697146319158
0.0007714285714285713 200.0 0.9989918466952163
0.0008142857142857143 200.0 0.9990956802185182
0.0008571428571428571 200.0 0.9991848504936302
0.0009 200.0 0.9992621115836761
0.000942857142857143 200.0 0.9993295849008298
0.0009857142857142857 200.0 0.9993889287223452
0.0003 197.55102040816325 0.9907043322289908
0.00034285714285714285 197.55102040816325 0.9934324265653309
0.00038571428571428567 197.55102040816325 0.9950488358954466
0.00042857142857142855 197.55102040816325 0.9960981383612751
0.00047142857142857137 197.55102040816325 0.996825410394704
0.0005142857142857143 197.55102040816325 0.9973546303001658
0.0005571428571428572 197.55102040816325 0.997754397598564
0.0006 197.55102040816325 0.9980654186574854
0.0006428571428571428 197.55102040816325 0.9983132309599569
0.0006857142857142857 197.55102040816325 0.9985145961782954
0.0007285714285714287 197.55102040816325 0.9986809342936834
0.0007714285714285713 197.55102040816325 0.9988202732954866
0.0008142857142857143 197.55102040816325 0.9989384087985941
0.0008571428571428571 197.55102040816325 0.999039621567448
0.0009 197.55102040816325 0.9991271368519211
0.000942857142857143 197.55102040816325 0.9992034272589913
0.0009857142857142857 197.55102040816325 0.9992704176980092
0.0003 195.10204081632654 0.9886779546795427
0.00034285714285714285 195.10204081632654 0.9921695860538315
0.00038571428571428567 195.10204081632654 0.9941796472727674
0.00042857142857142855 195.10204081632654 0.9954557407256724
0.00047142857142857137 195.10204081632654 0.9963253288520132
0.0005142857142857143 195.10204081632654 0.9969499294246429
0.0005571428571428572 195.10204081632654 0.9974169941742008
0.0006 195.10204081632654 0.9977774804651002
0.0006428571428571428 195.10204081632654 0.9980628741536702
0.0006857142857142857 195.10204081632654 0.9982935786840882
0.0007285714285714287 195.10204081632654 0.998483345649453
0.0007714285714285713 195.10204081632654 0.9986417533283456
0.0008142857142857143 195.10204081632654 0.9987756619664717
0.0008571428571428571 195.10204081632654 0.9988901041422233
0.0009 195.10204081632654 0.9989888491131103
0.000942857142857143 195.10204081632654 0.9990747716643567
0.0009857142857142857 195.10204081632654 0.9991500997457619
0.0003 192.6530612244898 0.9861647684216301
0.00034285714285714285 192.6530612244898 0.9906477235314162
0.00038571428571428567 192.6530612244898 0.993159567843951
0.00042857142857142855 192.6530612244898 0.9947182973161585
0.00047142857142857137 192.6530612244898 0.9957615350990277
0.0005142857142857143 192.6530612244898 0.9965003856603405
0.0005571428571428572 192.6530612244898 0.9970467937745477
0.0006 192.6530612244898 0.9974648136854048
0.0006428571428571428 192.6530612244898 0.9977934135731427
0.0006857142857142857 192.6530612244898 0.9980575138076749
0.0007285714285714287 192.6530612244898 0.9982737216287997
0.0007714285714285713 192.6530612244898 0.9984534925551979
0.0008142857142857143 192.6530612244898 0.9986049627154933
0.0008571428571428571 192.6530612244898 0.9987340571428048
0.0009 192.6530612244898 0.998845185172988
0.000942857142857143 192.6530612244898 0.9989416908726442
0.0009857142857142857 192.6530612244898 0.9990261530228933
0.0003 190.20408163265307 0.9830091742651256
0.00034285714285714285 190.20408163265307 0.9887782043860287
0.00038571428571428567 190.20408163265307 0.9919376985028008
0.00042857142857142855 190.20408163265307 0.9938548196545719
0.00047142857142857137 190.20408163265307 0.9951139509200049
0.0005142857142857143 190.20408163265307 0.9959922548921802
0.0005571428571428572 190.20408163265307 0.9966339415601233
0.0006 190.20408163265307 0.9971200701935614
0.0006428571428571428 190.20408163265307 0.9974991827151761
0.0006857142857142857 190.20408163265307 0.997801900166275
0.0007285714285714287 190.20408163265307 0.998048389079161
0.0007714285714285713 190.20408163265307 0.9982524185670024
0.0008142857142857143 190.20408163265307 0.9984236812879697
0.0008571428571428571 190.20408163265307 0.9985691809867
0.0009 190.20408163265307 0.9986940940808603
0.000942857142857143 190.20408163265307 0.9988023225673512
0.0009857142857142857 190.20408163265307 0.9988968592030272
0.0003 187.75510204081633 0.9790358563074337
0.00034285714285714285 187.75510204081633 0.9864468527087236
0.00038571428571428567 187.75510204081633 0.9904460425266156
0.00042857142857142855 187.75510204081633 0.9928237226352632
0.00047142857142857137 187.75510204081633 0.9943557920790699
0.0005142857142857143 187.75510204081633 0.9954073689432809
0.0005571428571428572 187.75510204081633 0.9961655440276788
0.0006 187.75510204081633 0.9967337464935935
0.0006428571428571428 187.75510204081633 0.9971729517403478
0.0006857142857142857 187.75510204081633 0.9975210883869561
0.0007285714285714287 187.75510204081633 0.9978028298441521
0.0007714285714285713 187.75510204081633 0.9980348420925267
0.0008142857142857143 187.75510204081633 0.9982287471104737
0.0008571428571428571 187.75510204081633 0.9983928735712995
0.0009 187.75510204081633 0.9985333323120767
0.000942857142857143 187.75510204081633 0.998654699857068
0.0009857142857142857 187.75510204081633 0.9987604659641962
0.0003 185.3061224489796 0.9740812808364886
0.00034285714285714285 185.3061224489796 0.9835152453383237
0.00038571428571428567 185.3061224489796 0.9885955168405552
0.00042857142857142855 185.3061224489796 0.9915694311626472
0.00047142857142857137 185.3061224489796 0.9934512709809767
0.0005142857142857143 185.3061224489796 0.9947216020427486
0.0005571428571428572 185.3061224489796 0.9956245980859745
0.0006 185.3061224489796 0.9962933877668108
