753.8,-105.0,0.179
713.0,-110.0,0.205
533.7,-130.0,0.226
375.9,-150.0,0.240
261.1,-170.0,0.268
169.6,-190.0,0.272
106.4,-210.0,0.300
37.2,-250.0,0.322
